"Reporting starts","Reporting ends","Campaign name",Age,Gender,"Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (VND)",Impressions,Reach,Ends,"Attribution setting","Total messaging contacts","New messaging contacts","Purchases conversion value","Purchase ROAS (return on ad spend)","Cost per new messaging contact (VND)","Messaging conversations started","Cost per messaging conversation started (VND)","Clicks (all)"
2026-03-01,2026-04-01,ttmanh,45-54,male,active,19746,actions:post_engagement,21.45193963,51000,Daily,423590,35873,23352,Ongoing,"7-day click or 1-day view",3,3,,,141196.666667,3,141196.666667,193
2026-03-01,2026-04-01,ttmanh,45-54,unknown,active,65,actions:post_engagement,21.87692308,51000,Daily,1422,116,79,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-03-01,2026-04-01,ttmanh,55-64,female,active,2253,actions:post_engagement,23.23391034,51000,Daily,52346,3641,2627,Ongoing,"7-day click or 1-day view",,,,,,,,19
2026-03-01,2026-04-01,ttmanh,55-64,male,active,12648,actions:post_engagement,21.93722328,51000,Daily,277462,20824,13315,Ongoing,"7-day click or 1-day view",1,1,,,277462,1,277462,151
2026-03-01,2026-04-01,ttmanh,55-64,unknown,active,36,actions:post_engagement,17.44444444,51000,Daily,628,46,35,Ongoing,"7-day click or 1-day view",,,,,,,,1
2026-03-01,2026-04-01,ttmanh,65+,female,active,1376,actions:post_engagement,25.09520349,51000,Daily,34531,2168,1458,Ongoing,"7-day click or 1-day view",,,,,,,,31
2026-03-01,2026-04-01,ttmanh,65+,male,active,5663,actions:post_engagement,23.67243511,51000,Daily,134057,8800,5748,Ongoing,"7-day click or 1-day view",1,1,,,134057,1,134057,76
2026-03-01,2026-04-01,ttmanh,65+,unknown,active,18,actions:post_engagement,25.11111111,51000,Daily,452,29,20,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-03-01,2026-04-01,linh3,18-24,female,active,17,actions:onsite_conversion.lead_grouped,115871.17647059,225000,Daily,1969810,23130,14627,Ongoing,"7-day click or 1-day view",28,25,,,78792.4,26,75761.923077,373
2026-03-01,2026-04-01,linh3,18-24,male,active,14,actions:onsite_conversion.lead_grouped,154722.71428571,225000,Daily,2166118,37280,23508,Ongoing,"7-day click or 1-day view",31,26,,,83312.230769,28,77361.357143,1310
2026-03-01,2026-04-01,linh3,18-24,unknown,active,2,actions:onsite_conversion.lead_grouped,38378.5,225000,Daily,76757,972,632,Ongoing,"7-day click or 1-day view",3,2,,,38378.5,2,38378.5,33
2026-03-01,2026-04-01,linh3,25-34,female,active,9,actions:onsite_conversion.lead_grouped,101281,225000,Daily,911529,6376,4512,Ongoing,"7-day click or 1-day view",16,14,,,65109.214286,14,65109.214286,171
2026-03-01,2026-04-01,linh3,25-34,male,active,15,actions:onsite_conversion.lead_grouped,83609,225000,Daily,1254135,14406,9757,Ongoing,"7-day click or 1-day view",27,27,,,46449.444444,27,46449.444444,640
2026-03-01,2026-04-01,linh3,25-34,unknown,active,,,,225000,Daily,32037,215,153,Ongoing,"7-day click or 1-day view",,,,,,,,6
2026-03-01,2026-04-01,linh3,35-44,female,active,4,actions:onsite_conversion.lead_grouped,56268.25,225000,Daily,225073,966,696,Ongoing,"7-day click or 1-day view",5,4,,,56268.25,4,56268.25,33
2026-03-01,2026-04-01,linh3,35-44,male,active,4,actions:onsite_conversion.lead_grouped,67223.5,225000,Daily,268894,2072,1440,Ongoing,"7-day click or 1-day view",10,9,,,29877.111111,10,26889.4,100
