"Reporting starts","Reporting ends","Campaign name",Age,Gender,"Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (VND)",Impressions,Reach,Ends,"Attribution setting","Total messaging contacts","New messaging contacts","Purchases conversion value","Purchase ROAS (return on ad spend)","Cost per new messaging contact (VND)","Messaging conversations started","Cost per messaging conversation started (VND)","Clicks (all)"
2026-01-01,2026-02-01,ttlinh,65+,male,active,1232,actions:post_engagement,16.22808442,50000,Daily,19993,1737,1470,Ongoing,"7-day click or 1-day view",,,,,,,,23
2026-01-01,2026-02-01,ttlinh,65+,unknown,active,7,actions:post_engagement,12.57142857,50000,Daily,88,7,7,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-01-01,2026-02-01,ttmanh,18-24,female,active,429,actions:post_engagement,28.71095571,51000,Daily,12317,839,711,Ongoing,"7-day click or 1-day view",,,,,,,,13
2026-01-01,2026-02-01,ttmanh,18-24,male,active,2070,actions:post_engagement,29.89855072,51000,Daily,61890,4556,3772,Ongoing,"7-day click or 1-day view",,,,,,,,48
2026-01-01,2026-02-01,ttmanh,18-24,unknown,active,35,actions:post_engagement,38.51428571,51000,Daily,1348,97,78,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-01-01,2026-02-01,ttmanh,25-34,female,active,499,actions:post_engagement,31.6753507,51000,Daily,15806,999,835,Ongoing,"7-day click or 1-day view",,,,,,,,7
2026-01-01,2026-02-01,ttmanh,25-34,male,active,4415,actions:post_engagement,29.13929785,51000,Daily,128650,8973,7494,Ongoing,"7-day click or 1-day view",1,1,,,128650,1,128650,60
2026-01-01,2026-02-01,ttmanh,25-34,unknown,active,37,actions:post_engagement,27.67567568,51000,Daily,1024,75,62,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-01-01,2026-02-01,ttmanh,35-44,female,active,1019,actions:post_engagement,28.89106968,51000,Daily,29440,1871,1554,Ongoing,"7-day click or 1-day view",,,,,,,,19
2026-01-01,2026-02-01,ttmanh,35-44,male,active,8430,actions:post_engagement,29.13724792,51000,Daily,245627,16905,13469,Ongoing,"7-day click or 1-day view",1,1,,,245627,1,245627,90
2026-01-01,2026-02-01,ttmanh,35-44,unknown,active,26,actions:post_engagement,33.80769231,51000,Daily,879,63,55,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-01-01,2026-02-01,ttmanh,45-54,female,active,1992,actions:post_engagement,29.30220884,51000,Daily,58370,3453,2781,Ongoing,"7-day click or 1-day view",,,,,,,,36
2026-01-01,2026-02-01,ttmanh,45-54,male,active,11125,actions:post_engagement,28.22705618,51000,Daily,314026,20373,15446,Ongoing,"7-day click or 1-day view",,,,,,,,127
2026-01-01,2026-02-01,ttmanh,45-54,unknown,active,28,actions:post_engagement,29.25,51000,Daily,819,54,46,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-01-01,2026-02-01,ttmanh,55-64,female,active,1391,actions:post_engagement,29.94392523,51000,Daily,41652,2321,1825,Ongoing,"7-day click or 1-day view",,,,,,,,22
2026-01-01,2026-02-01,ttmanh,55-64,male,active,6250,actions:post_engagement,28.9976,51000,Daily,181235,10690,8193,Ongoing,"7-day click or 1-day view",,,,,,,,75
2026-01-01,2026-02-01,ttmanh,55-64,unknown,active,22,actions:post_engagement,36.72727273,51000,Daily,808,43,30,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-01-01,2026-02-01,ttmanh,65+,female,active,688,actions:post_engagement,31.89244186,51000,Daily,21942,1135,881,Ongoing,"7-day click or 1-day view",,,,,,,,12
2026-01-01,2026-02-01,ttmanh,65+,male,active,2465,actions:post_engagement,29.65517241,51000,Daily,73100,3984,2925,Ongoing,"7-day click or 1-day view",,,,,,,,25
2026-01-01,2026-02-01,ttmanh,65+,unknown,active,10,actions:post_engagement,24.2,51000,Daily,242,16,13,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-01-01,2026-02-01,linh3,18-24,female,active,3,actions:onsite_conversion.lead_grouped,216410,225000,Daily,649230,4356,2980,Ongoing,"7-day click or 1-day view",8,8,,,81153.75,8,81153.75,71
2026-01-01,2026-02-01,linh3,18-24,male,active,3,actions:onsite_conversion.lead_grouped,386899.33333333,225000,Daily,1160698,20991,14655,Ongoing,"7-day click or 1-day view",8,7,,,165814,8,145087.25,950
2026-01-01,2026-02-01,linh3,18-24,unknown,active,,,,225000,Daily,27003,357,272,Ongoing,"7-day click or 1-day view",,,,,,,,14
2026-01-01,2026-02-01,linh3,25-34,female,active,3,actions:onsite_conversion.lead_grouped,108275.66666667,225000,Daily,324827,1611,1185,Ongoing,"7-day click or 1-day view",4,4,,,81206.75,4,81206.75,37
2026-01-01,2026-02-01,linh3,25-34,male,active,4,actions:onsite_conversion.lead_grouped,215303.75,225000,Daily,861215,11076,8214,Ongoing,"7-day click or 1-day view",9,7,,,123030.714286,9,95690.555556,599
2026-01-01,2026-02-01,linh3,25-34,unknown,active,,,,225000,Daily,14794,112,84,Ongoing,"7-day click or 1-day view",,,,,,,,4
2026-01-01,2026-02-01,linh3,35-44,female,active,,,,225000,Daily,143929,380,275,Ongoing,"7-day click or 1-day view",,,,,,,,12
2026-01-01,2026-02-01,linh3,35-44,male,active,1,actions:onsite_conversion.lead_grouped,264073,225000,Daily,264073,2000,1408,Ongoing,"7-day click or 1-day view",5,4,,,66018.25,5,52814.6,154
2026-01-01,2026-02-01,linh3,35-44,unknown,active,,,,225000,Daily,2855,20,17,Ongoing,"7-day click or 1-day view",,,,,,,,3
2026-01-01,2026-02-01,linh3,45-54,female,active,,,,225000,Daily,44416,136,96,Ongoing,"7-day click or 1-day view",,,,,,,,9
2026-01-01,2026-02-01,linh3,45-54,male,active,,,,225000,Daily,59169,476,366,Ongoing,"7-day click or 1-day view",1,1,,,59169,1,59169,29
2026-01-01,2026-02-01,linh3,45-54,unknown,active,,,,225000,Daily,1172,6,3,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-01-01,2026-02-01,linh3,55-64,female,active,,,,225000,Daily,25863,56,33,Ongoing,"7-day click or 1-day view",1,1,,,25863,1,25863,2
2026-01-01,2026-02-01,linh3,55-64,male,active,,,,225000,Daily,22254,84,70,Ongoing,"7-day click or 1-day view",,,,,,,,11
2026-01-01,2026-02-01,linh3,55-64,unknown,active,,,,225000,Daily,423,1,1,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-01-01,2026-02-01,linh3,65+,female,active,,,,225000,Daily,8825,40,23,Ongoing,"7-day click or 1-day view",,,,,,,,1
2026-01-01,2026-02-01,linh3,65+,male,active,1,actions:onsite_conversion.lead_grouped,11833,225000,Daily,11833,106,78,Ongoing,"7-day click or 1-day view",2,1,,,11833,1,11833,6
2026-01-01,2026-02-01,aaaaamaaanhhh,18-24,female,active,5,actions:onsite_conversion.lead_grouped,182379,320000,Daily,911895,8636,3360,Ongoing,"7-day click or 1-day view",14,11,,,82899.545455,12,75991.25,166
2026-01-01,2026-02-01,aaaaamaaanhhh,18-24,male,active,8,actions:onsite_conversion.lead_grouped,115282.625,320000,Daily,922261,13683,5302,Ongoing,"7-day click or 1-day view",10,9,,,102473.444444,9,102473.444444,329
2026-01-01,2026-02-01,aaaaamaaanhhh,18-24,unknown,active,,,,320000,Daily,31411,370,158,Ongoing,"7-day click or 1-day view",,,,,,,,5
2026-01-01,2026-02-01,aaaaamaaanhhh,25-34,female,active,1,actions:onsite_conversion.lead_grouped,511480,320000,Daily,511480,4098,1682,Ongoing,"7-day click or 1-day view",6,6,,,85246.666667,6,85246.666667,90
2026-01-01,2026-02-01,aaaaamaaanhhh,25-34,male,active,3,actions:onsite_conversion.lead_grouped,290771.33333333,320000,Daily,872314,9444,3624,Ongoing,"7-day click or 1-day view",6,6,,,145385.666667,6,145385.666667,264
2026-01-01,2026-02-01,aaaaamaaanhhh,25-34,unknown,active,,,,320000,Daily,12004,140,48,Ongoing,"7-day click or 1-day view",,,,,,,,2
2026-01-01,2026-02-01,aaaaamaaanhhh,35-44,female,active,,,,320000,Daily,155754,706,320,Ongoing,"7-day click or 1-day view",1,1,,,155754,1,155754,39
2026-01-01,2026-02-01,aaaaamaaanhhh,35-44,male,active,2,actions:onsite_conversion.lead_grouped,87815,320000,Daily,175630,1451,552,Ongoing,"7-day click or 1-day view",3,3,,,58543.333333,3,58543.333333,44
2026-01-01,2026-02-01,aaaaamaaanhhh,35-44,unknown,active,,,,320000,Daily,638,8,4,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-01-01,2026-02-01,aaaaamaaanhhh,45-54,female,active,,,,320000,Daily,24745,174,82,Ongoing,"7-day click or 1-day view",,,,,,,,7
2026-01-01,2026-02-01,aaaaamaaanhhh,45-54,male,active,,,,320000,Daily,38154,298,136,Ongoing,"7-day click or 1-day view",,,,,,,,12
2026-01-01,2026-02-01,aaaaamaaanhhh,45-54,unknown,active,,,,320000,Daily,11890,8,4,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-01-01,2026-02-01,aaaaamaaanhhh,55-64,female,active,1,actions:onsite_conversion.lead_grouped,22660,320000,Daily,22660,89,20,Ongoing,"7-day click or 1-day view",,,,,,,,6
2026-01-01,2026-02-01,aaaaamaaanhhh,55-64,male,active,,,,320000,Daily,13106,66,28,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-01-01,2026-02-01,aaaaamaaanhhh,55-64,unknown,active,,,,320000,Daily,501,8,1,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-01-01,2026-02-01,aaaaamaaanhhh,65+,female,active,,,,320000,Daily,3493,55,17,Ongoing,"7-day click or 1-day view",,,,,,,,2
2026-01-01,2026-02-01,aaaaamaaanhhh,65+,male,active,,,,320000,Daily,3366,44,27,Ongoing,"7-day click or 1-day view",,,,,,,,1
2026-01-01,2026-02-01,nlinh2,18-24,female,inactive,1,actions:onsite_conversion.lead_grouped,584802,210000,Daily,584802,3769,2584,Ongoing,"7-day click or 1-day view",5,5,,,116960.4,5,116960.4,68
2026-01-01,2026-02-01,nlinh2,18-24,male,inactive,1,actions:onsite_conversion.lead_grouped,1079645,210000,Daily,1079645,18011,12686,Ongoing,"7-day click or 1-day view",9,9,,,119960.555556,9,119960.555556,780
2026-01-01,2026-02-01,nlinh2,18-24,unknown,inactive,,,,210000,Daily,29615,325,244,Ongoing,"7-day click or 1-day view",,,,,,,,10
2026-01-01,2026-02-01,nlinh2,25-34,female,inactive,1,actions:onsite_conversion.lead_grouped,355597,210000,Daily,355597,1372,1008,Ongoing,"7-day click or 1-day view",6,4,,,88899.25,5,71119.4,39
